Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Frequency of Purchases,Discount Applied,Previous Purchases,Payment Method,Subscription Status
1344,68,Male,Sneakers,Footwear,56,Florida,M,Indigo,Spring,3.4,Monthly,Yes,34,Bank Transfer,No
2685,46,Female,Dress,Clothing,45,Washington,M,Gray,Summer,4.7,Bi-Weekly,No,42,Credit Card,No
1585,41,Male,Blouse,Clothing,95,Hawaii,S,Silver,Spring,3.1,Quarterly,Yes,46,Credit Card,No
180,64,Male,Boots,Footwear,31,Illinois,M,Violet,Fall,4.9,Fortnightly,Yes,9,Bank Transfer,Yes
945,54,Male,Belt,Accessories,97,Indiana,S,Gray,Spring,4.8,Bi-Weekly,Yes,39,Cash,Yes
2039,53,Male,Blouse,Clothing,70,Arkansas,L,Orange,Spring,4.4,Fortnightly,No,35,Credit Card,No
2399,65,Male,Jacket,Outerwear,81,Florida,M,Orange,Winter,4.3,Fortnightly,No,44,Bank Transfer,No
859,19,Male,Jacket,Outerwear,26,Oklahoma,L,Olive,Fall,3.1,Weekly,Yes,33,PayPal,Yes
3779,25,Female,Sneakers,Footwear,60,South Dakota,M,Cyan,Fall,,Annually,No,30,Debit Card,No
683,23,Male,Jacket,Outerwear,29,Missouri,M,Brown,Summer,4,Bi-Weekly,Yes,49,Credit Card,Yes
1444,58,Male,Sandals,Footwear,47,Idaho,L,Teal,Fall,4.2,Monthly,Yes,2,Cash,No
3195,43,Female,Sneakers,Footwear,52,Maryland,L,Gold,Summer,4.6,Bi-Weekly,No,10,Credit Card,No
2187,55,Male,Sandals,Footwear,23,New Mexico,XL,Teal,Winter,4.3,Every 3 Months,No,6,PayPal,No
116,,Male,Skirt,Clothing,94,Wyoming,M,Gray,Spring,3.8,Every 3 Months,Yes,48,Debit Card,Yes
3415,27,Female,Boots,Footwear,94,Connecticut,M,Maroon,Spring,4.9,Quarterly,No,3,Bank Transfer,No
26,18,Male,Hoodie,Clothing,25,Texas,M,Silver,Summer,3.6,Annually,Yes,14,PayPal,Yes
2482,41,Male,Belt,Accessories,92,New Jersey,XL,Cyan,Fall,2.9,Weekly,No,35,Debit Card,No
1215,30,Male,Jacket,Outerwear,81,Vermont,M,Blue,Fall,3.8,Every 3 Months,Yes,5,Cash,No
3518,29,Female,Skirt,Clothing,69,Tennessee,M,Orange,Winter,3.1,Every 3 Months,No,34,Debit Card,No
3876,63,Female,Hat,Accessories,51,New Hampshire,M,Pink,Winter,,Annually,No,21,Credit Card,No
23,56,Male,Pants,Clothing,37,California,M,Peach,Summer,3.2,Annually,Yes,32,Debit Card,Yes
2295,54,Male,Sunglasses,Accessories,95,Maryland,M,Red,Winter,5,Annually,No,40,Debit Card,No
143,37,Male,Jacket,Outerwear,58,Nebraska,L,Violet,Fall,3.1,Fortnightly,Yes,33,Credit Card,Yes
1302,42,Male,Shirt,Clothing,54,Maine,M,Orange,Fall,5,Weekly,Yes,21,Debit Card,No
1596,34,Male,Backpack,Accessories,35,Wisconsin,S,Magenta,Spring,3.5,Fortnightly,Yes,45,Debit Card,No
2776,37,Female,Socks,Clothing,25,Montana,L,Red,Fall,3.6,Weekly,No,16,Debit Card,No
2877,65,Female,Hoodie,Clothing,84,New Mexico,M,Charcoal,Spring,3.4,Fortnightly,No,5,Bank Transfer,No
528,21,Male,T-shirt,Clothing,23,South Carolina,L,Yellow,Winter,4.3,Every 3 Months,Yes,47,Bank Transfer,Yes
422,,Male,Shirt,Clothing,40,Kentucky,M,Violet,Winter,3.5,Bi-Weekly,Yes,48,Cash,Yes
2499,18,Male,Coat,Outerwear,39,Massachusetts,S,Green,Fall,,Fortnightly,No,38,Cash,No
1564,68,Male,Pants,Clothing,44,Kansas,M,Teal,Fall,4.3,Weekly,Yes,8,Cash,No
1298,44,Male,Sandals,Footwear,85,New Jersey,M,Silver,Summer,4.6,Annually,Yes,32,Venmo,No
3539,56,Female,Shoes,Footwear,63,Iowa,S,White,Spring,4.5,Monthly,No,21,Venmo,No
2773,18,Female,Backpack,Accessories,94,Pennsylvania,L,Blue,Spring,3.5,Every 3 Months,No,10,Bank Transfer,No
790,33,Male,Handbag,Accessories,84,Idaho,S,Purple,Fall,2.7,Bi-Weekly,Yes,4,Credit Card,Yes
1350,21,Male,Socks,Clothing,36,South Carolina,XL,Black,Spring,3.2,Bi-Weekly,Yes,23,Cash,No
2553,61,Male,Belt,Accessories,48,Maryland,XL,Purple,Spring,3.2,Annually,No,13,Credit Card,No
1046,54,Male,Sweater,Clothing,79,New Mexico,L,Black,Fall,3.5,Bi-Weekly,Yes,11,PayPal,Yes
2285,32,Male,Blouse,Clothing,63,Iowa,XL,Black,Fall,4.1,Annually,No,20,Venmo,No
1900,32,Male,Shorts,Clothing,40,New York,L,Maroon,Winter,4.2,Weekly,No,42,PayPal,No
1860,54,Male,Belt,Accessories,26,New Jersey,L,Beige,Summer,3.7,Fortnightly,No,29,Debit Card,No
3323,52,Female,Sweater,Clothing,92,Indiana,XL,Orange,Winter,4.6,Weekly,No,43,PayPal,No
581,49,Male,Sweater,Clothing,80,Iowa,M,Orange,Spring,4.1,Weekly,Yes,10,PayPal,Yes
1873,43,Male,T-shirt,Clothing,64,Alaska,M,Lavender,Summer,4.6,Monthly,No,24,Credit Card,No
100,26,Male,Hoodie,Clothing,40,Missouri,XL,Indigo,Summer,3.7,Quarterly,Yes,33,Debit Card,Yes
3681,22,Female,Sunglasses,Accessories,36,Iowa,S,Blue,Winter,2.9,Quarterly,No,30,Debit Card,No
1367,45,Male,Belt,Accessories,40,Iowa,M,Magenta,Fall,3.1,Fortnightly,Yes,10,Credit Card,No
1258,68,Male,Dress,Clothing,67,Minnesota,L,Gold,Spring,3,Every 3 Months,Yes,31,Cash,No
2080,32,Male,Jeans,Clothing,24,Montana,L,Violet,Summer,3.1,Quarterly,No,16,PayPal,No
3409,48,Female,Socks,Clothing,72,Montana,L,Purple,Summer,4.4,Annually,No,11,Bank Transfer,No
3246,63,Female,Pants,Clothing,76,Kansas,M,Purple,Fall,3.2,Weekly,No,20,Cash,No
919,65,Male,Shorts,Clothing,42,North Carolina,M,Orange,Spring,4.3,Fortnightly,Yes,11,Cash,Yes
608,,Male,Hoodie,Clothing,23,Indiana,L,Purple,Fall,2.8,Monthly,Yes,44,Cash,Yes
1626,34,Male,Skirt,Clothing,45,Minnesota,L,Beige,Winter,3,Bi-Weekly,Yes,3,PayPal,No
1039,41,Male,Pants,Clothing,74,Nebraska,XL,Cyan,Fall,3,Weekly,Yes,3,Bank Transfer,Yes
2789,56,Female,Boots,Footwear,92,Rhode Island,M,Olive,Summer,3.1,Annually,No,2,Credit Card,No
1850,30,Male,Skirt,Clothing,40,New Mexico,M,Maroon,Winter,4.5,Monthly,No,35,Bank Transfer,No
2951,22,Female,Jeans,Clothing,91,Iowa,S,Maroon,Winter,4.1,Every 3 Months,No,44,Debit Card,No
869,40,Male,Dress,Clothing,83,North Carolina,M,Green,Summer,3.2,Every 3 Months,Yes,2,Credit Card,Yes
841,42,Male,Shirt,Clothing,24,Alabama,L,Teal,Summer,4.2,Weekly,Yes,18,PayPal,Yes
1288,24,Male,Jeans,Clothing,28,Utah,XL,Blue,Winter,3.4,Monthly,Yes,20,PayPal,No
2676,24,Female,Shorts,Clothing,38,Virginia,M,Peach,Winter,3.4,Bi-Weekly,No,38,Cash,No
282,38,Male,Belt,Accessories,61,Oklahoma,XL,Charcoal,Spring,2.5,Bi-Weekly,Yes,22,Debit Card,Yes
3058,67,Female,Backpack,Accessories,22,North Carolina,M,Blue,Spring,3.4,Weekly,No,26,Bank Transfer,No
992,20,Male,Shorts,Clothing,97,Wisconsin,XL,White,Spring,2.7,Bi-Weekly,Yes,40,Bank Transfer,Yes
984,24,Male,Hat,Accessories,45,New Mexico,L,Indigo,Winter,3.5,Bi-Weekly,Yes,40,Venmo,Yes
3888,40,Female,Shirt,Clothing,34,Kansas,M,Charcoal,Spring,2.7,Quarterly,No,1,Credit Card,No
2496,40,Male,Backpack,Accessories,37,Nebraska,XL,Orange,Spring,3.1,Every 3 Months,No,34,Credit Card,No
1318,28,Male,Pants,Clothing,43,Kentucky,M,Green,Spring,2.8,Monthly,Yes,19,Cash,No
708,59,Male,Shirt,Clothing,38,Louisiana,L,Purple,Spring,3.7,Annually,Yes,21,Venmo,Yes
3016,37,Female,Scarf,Accessories,21,Wyoming,XL,Lavender,Spring,2.8,Bi-Weekly,No,27,Bank Transfer,No
1418,62,Male,Shorts,Clothing,25,Montana,S,Brown,Spring,4.6,Fortnightly,Yes,21,Debit Card,No
40,70,Male,Pants,Clothing,60,Arizona,S,Turquoise,Summer,4.2,Monthly,Yes,18,Credit Card,Yes
3724,26,Female,Sandals,Footwear,30,Rhode Island,M,Beige,Spring,3.6,Monthly,No,1,Debit Card,No
239,64,Male,Skirt,Clothing,34,Ohio,M,Peach,Fall,4.2,Annually,Yes,5,Cash,Yes
550,31,Male,Backpack,Accessories,29,Arizona,S,Olive,Fall,3.6,Bi-Weekly,Yes,37,Venmo,Yes
1560,,Male,Scarf,Accessories,94,Oregon,L,Beige,Fall,4.5,Fortnightly,Yes,23,PayPal,No
437,40,Male,Pants,Clothing,46,Tennessee,L,Cyan,Summer,4.6,Weekly,Yes,41,Bank Transfer,Yes
2643,39,Male,Belt,Accessories,87,Iowa,L,Peach,Summer,4,Annually,No,48,Bank Transfer,No
754,47,Male,Boots,Footwear,54,Massachusetts,M,Teal,Fall,3.4,Quarterly,Yes,27,Venmo,Yes
1635,28,Male,Coat,Outerwear,23,South Carolina,S,Orange,Summer,3.6,Every 3 Months,Yes,30,Cash,No
161,27,Male,Gloves,Accessories,23,Texas,M,Orange,Summer,4.6,Monthly,Yes,34,Venmo,Yes
1633,35,Male,Gloves,Accessories,28,Oregon,S,White,Summer,4.7,Every 3 Months,Yes,50,Debit Card,No
1024,61,Male,Sunglasses,Accessories,71,Maine,S,Turquoise,Winter,3.5,Every 3 Months,Yes,29,Bank Transfer,Yes
3292,29,Female,Belt,Accessories,51,New Mexico,L,Olive,Fall,2.6,Monthly,No,11,Cash,No
2547,63,Male,Boots,Footwear,21,Texas,L,Gray,Summer,3,Quarterly,No,4,Credit Card,No
1496,45,Male,Jewelry,Accessories,23,Rhode Island,M,Brown,Winter,4.5,Weekly,Yes,6,PayPal,No
1723,46,Male,T-shirt,Clothing,51,Massachusetts,L,Violet,Summer,3.3,Fortnightly,No,14,Cash,No
1810,58,Male,Backpack,Accessories,99,Alaska,S,Blue,Fall,,Fortnightly,No,6,Debit Card,No
3667,67,Female,Jewelry,Accessories,50,Alabama,M,Olive,Winter,3,Every 3 Months,No,47,Cash,No
2487,61,Male,Jeans,Clothing,58,Texas,L,Magenta,Spring,4.4,Fortnightly,No,6,Credit Card,No
482,46,Male,Hat,Accessories,88,Wisconsin,L,Peach,Fall,3.2,Fortnightly,Yes,10,PayPal,Yes
3062,33,Female,T-shirt,Clothing,59,South Dakota,L,Olive,Fall,4.5,Every 3 Months,No,20,PayPal,No
61,50,Male,Sweater,Clothing,37,Idaho,L,Brown,Summer,4,Weekly,Yes,17,Cash,Yes
2437,52,Male,T-shirt,Clothing,24,Connecticut,M,Yellow,Fall,2.7,Quarterly,No,38,Credit Card,No
751,25,Male,T-shirt,Clothing,95,Maryland,L,Violet,Fall,3.4,Annually,Yes,5,Venmo,Yes
438,45,Male,Jewelry,Accessories,50,New Mexico,M,Peach,Summer,2.6,Annually,Yes,41,PayPal,Yes
2256,48,Male,Coat,Outerwear,39,Michigan,L,Teal,Spring,4.6,Quarterly,No,42,Bank Transfer,No
